Milliseconds,X,Y,Z
5001,0.1611128,0.22881861,-0.13412666
5052,0.11317592,0.37049866,-0.06488453599999999
5101,0.092403285,0.39553234,-0.03612242
5151,0.23834439999999998,0.07648592,-0.07713506
5201,0.1930707,-0.22018996,-0.2853941
5251,-0.087093614,-0.45561320000000005,-0.5090994000000001
5301,-0.16059679999999998,0.25172177,-0.7035100000000001
5351,-0.1456831,0.041332223,-0.56875414
5401,-0.0684515,0.20538281,-0.8414616
5451,-0.045015708,0.26450494,-0.8212216
5501,-0.24901368,0.15904385,-0.8830068999999999
5551,-0.52225375,-0.32405317,-0.8819415999999999
5601,-0.83863705,-0.4188616,-0.58047205
5651,-0.7395675,0.11110698,-0.49844679999999997
5701,-0.34914842,0.23094915,-0.79192686
5752,-0.13289994,-1.8995779,-0.4744784000000001
5802,0.09187066,0.24959125,-0.8531795
5852,0.27616122,-1.129925,-0.76103425
5902,0.33528337,-0.70967853,-1.040666
5951,0.23461597,-0.14668678,-0.99645746
6001,0.1930707,-0.19142784,-0.85371214
6052,0.13714437,0.06849644,-0.7375984
6101,0.04553169,-0.41726369999999996,-0.73813105
6151,0.031150635,-0.03057306,-0.76476264
6201,0.13288331,-0.30434576,-0.86543006
6251,0.10465381,-0.18876469,-0.39351836
6301,0.112643294,-0.14668678,-0.21881512
6351,0.22609386,-0.39649105,-0.021741362
6401,0.47536552,-0.18556889999999998,0.0059554890000000004
6451,0.6303614000000001,-0.4577437,0.23498714
6501,0.69747293,-0.22924471,0.38998294
6551,0.68415713,-0.27824682,0.567882
6601,0.48761603,0.22935124,0.75590104
6651,0.25485596,-0.23776682,1.1495159
6701,0.16324332,0.12868384,1.2661622
6751,0.25911704,-0.009267792,1.3876022
6801,0.39706865,-0.23776682,1.667234
6851,0.40292758,-0.7464301,1.6448633999999998
6901,0.53502023,-1.0846512,1.143657
6951,0.64900345,-0.89769757,0.7841305000000001
7001,0.57177186,-0.7560175,0.8341978999999999
7051,0.27775913,-0.8582828000000001,1.1367327
7101,0.23568124,-0.7783880999999999,1.1953222
7151,0.43435287,-1.0516282,0.91622317
7201,0.5605866,-1.0708028,0.5540335999999999
7251,0.27456334,-0.8183355,0.23658504
7302,-0.09082204,-0.9051544,-0.025469786
7351,-0.29908106,-0.56160694,-0.13465929
7401,-0.43969586,-0.9333839,-0.46915206
7451,-0.42638007,-1.3488367,-0.7812741999999999
7501,-0.6138664,-1.944319,-1.071026
7552,-0.61120325,-0.90675235,-1.5152408000000002
7601,-0.5813759000000001,-0.48277742,-1.4907397
7651,-0.5057422,-0.4710595,-1.3581145000000001
7701,-0.37737793,-0.40607843,-1.4092472
7751,-0.0801694,-0.5909017,-1.3826156
7801,-0.054070442999999996,-0.4103395,-0.937868
7851,0.147797,-0.19835207,-0.7775458000000001
7901,0.30971706,-0.45401528,-0.26408884
7951,0.50252974,-0.88970804,0.313284
8001,0.7438119000000001,-0.09022782,0.58013254
8051,0.80506456,-0.25054997,0.9220821
8101,0.5142475999999999,0.701263,1.3109033
8151,0.18667911,-0.29529104,1.8419371999999998
8201,0.15205805,-0.44975424,1.8717645
8251,0.24100755,-0.5030174,1.7497918999999997
8301,0.49773607,-0.37199003,1.5820128999999998
8351,0.5632497,-0.51526797,1.3114358999999998
8401,0.45672340000000006,-0.37784895,1.1766801000000002
8452,0.22822438,-0.43803635,1.0584358999999999
8501,0.17070018,-0.08436887,0.87840635
8551,0.15418857,-0.41460055,0.7058336
8601,0.123295926,-0.60155433,0.18598501
8651,-0.005600956,-0.65961117,-0.25290358
8701,-0.25220945,-0.66547006,-0.57141733
8751,-0.5952243,-0.53923637,-0.7573058000000001
8801,-0.8391696,-0.49662584,-1.5338829
8851,-0.98457813,-0.28676890000000005,-1.5855482
8902,-0.79389596,-0.20687416,-1.867843
8952,-0.6207906,-0.42951426,-1.766643
9002,-0.31932107,-0.04388886,-1.7149776999999997
9051,-0.32411474,-0.43324268,-1.3996598
9101,-0.14674836,-0.16586153,-1.1759543
9151,-0.0040030605,-0.1386973,-0.73653316
9201,0.23887703,-0.885447,0.18651766
9251,0.57123923,-0.67931855,0.81395787
9301,0.8551319,0.29379970000000005,1.3716233999999998
9351,0.6298286999999999,0.45891553,1.921832
9402,0.48069185,0.28847337,1.7950656000000003
9451,0.27669385,0.23627545,1.6395370999999999
9501,0.06310854,-0.27664894,1.6517876
9552,0.34859917,-0.003941475,1.3833413
9601,0.4902792,-0.0050067385,0.90130943
9651,0.4982687,0.5249618,0.5076946
9701,0.30172753,0.7065893,0.41821244
9751,0.07003275,0.33321446,0.654701
9801,-0.0024051648000000003,0.45944816,0.58439356
9851,-0.19468522,-0.0012783161,-0.35836464
9903,-0.39921585,-0.8609459999999999,-1.150388
9952,-0.43863058,-0.7821165,-1.4342808999999999
10001,-0.80721176,-1.0542912,-1.8396136000000003
10051,-0.7656665,0.12655331,-2.0531988
10102,-0.8434306999999999,0.08926908,-1.8630494
10152,-0.69322854,0.38701025,-1.7948724999999999
10201,-0.37045372,0.07382276,-1.5354807
10252,-0.2143926,0.64107555,-1.2680996999999998
10301,-0.0700494,-0.20474364,-0.44731417
10351,0.033281162,-0.2223205,0.42194086
10401,0.1227633,0.42802290000000004,0.8629600000000001
10452,0.36298020000000003,0.17182702,1.4951940000000001
10502,0.123295926,-0.028442534,2.0832195
10551,0.09666435,0.41683760000000003,2.0347497
10601,0.137677,0.0003195791,1.7689667000000002
10651,0.27349809999999997,0.069561705,1.4509854
10701,0.36031705,0.08660592,1.179876
10751,0.44660340000000004,0.26397228,1.0264779
10801,0.37629598,0.5068524,0.73992205
10851,0.48015920000000006,0.063702755,0.77028203
10901,0.40772128,0.18247965,0.5630883000000001
10951,-0.030102015,-0.009267792,-0.27474147
11001,-0.3720516,-0.32618368,-1.1312133
