Year_Month, AvgTemp
2002_Januar,5.9
2002_Februar,5.8
2002_Marec,10.1
2002_April,11.0
2002_Maj,18.8
2002_Junij,19.3
2002_Julij,22.4
2002_Avgust,23.8
2002_September,15.2
2002_Oktober,14.9
2002_November,6.6
2002_December,1.6
2003_Januar,1.5
2003_Februar,5.7
2003_Marec,10.0
2003_April,12.3
2003_Maj,17.0
2003_Junij,22.0
2003_Julij,22.6
2003_Avgust,21.0
2003_September,16.3
2003_Oktober,13.1
2003_November,11.2
2003_December,6.0
2004_Januar,2.6
2004_Februar,1.8
2004_Marec,8.0
2004_April,11.1
2004_Maj,18.8
2004_Junij,24.5
2004_Julij,24.2
2004_Avgust,25.7
2004_September,16.8
2004_Oktober,11.0
2004_November,9.9
2004_December,4.8
2005_Januar,1.9
2005_Februar,3.5
2005_Marec,7.4
2005_April,12.3
2005_Maj,14.7
2005_Junij,20.3
2005_Julij,22.5
2005_Avgust,22.0
2005_September,18.1
2005_Oktober,14.8
2005_November,7.8
2005_December,4.9
2006_Januar,1.9
2006_Februar,2.3
2006_Marec,6.6
2006_April,11.3
2006_Maj,17.2
2006_Junij,21.3
2006_Julij,22.4
2006_Avgust,20.1
2006_September,17.8
2006_Oktober,13.3
2006_November,7.4
2006_December,2.8
2007_Januar,7.0
2007_Februar,3.4
2007_Marec,6.4
2007_April,12.0
2007_Maj,16.2
2007_Junij,21.1
2007_Julij,25.4
2007_Avgust,19.1
2007_September,18.9
2007_Oktober,14.9
2007_November,9.0
2007_December,5.9
2008_Januar,6.1
2008_Februar,6.9
2008_Marec,10.2
2008_April,15.0
2008_Maj,18.5
2008_Junij,21.8
2008_Julij,22.8
2008_Avgust,21.6
2008_September,15.7
2008_Oktober,12.1
2008_November,6.9
2008_December,3.2
2009_Januar,5.3
2009_Februar,4.9
2009_Marec,7.7
2009_April,11.7
2009_Maj,17.6
2009_Junij,21.2
2009_Julij,22.5
2009_Avgust,22.3
2009_September,16.5
2009_Oktober,13.4
2009_November,8.5
2009_December,4.8
2010_Januar,3.6
2010_Februar,3.8
2010_Marec,7.8
2010_April,14.0
2010_Maj,18.7
2010_Junij,20.5
2010_Julij,22.6
2010_Avgust,23.8
2010_September,19.5
2010_Oktober,12.5
2010_November,9.6
2010_December,4.4
2011_Januar,2.0
2011_Februar,4.5
2011_Marec,7.1
2011_April,12.4
2011_Maj,16.0
2011_Junij,20.7
2011_Julij,23.5
2011_Avgust,21.1
2011_September,16.7
2011_Oktober,11.9
2011_November,9.5
2011_December,2.5
2012_Januar,3.1
2012_Februar,4.7
2012_Marec,8.2
2012_April,13.6
2012_Maj,18.2
2012_Junij,21.3
2012_Julij,21.9
2012_Avgust,23.4
2012_September,20.7
2012_Oktober,11.9
2012_November,7.6
2012_December,5.1
2013_Januar,2.0
2013_Februar,1.3
2013_Marec,10.5
2013_April,12.1
2013_Maj,16.9
2013_Junij,22.1
2013_Julij,24.6
2013_Avgust,24.5
2013_September,19.3
2013_Oktober,13.4
2013_November,10.3
2013_December,2.7
2014_Januar,4.1
2014_Februar,3.8
2014_Marec,6.7
2014_April,13.2
2014_Maj,15.6
2014_Junij,20.4
2014_Julij,24.8
2014_Avgust,23.2
2014_September,18.0
2014_Oktober,14.4
2014_November,9.8
2014_December,5.4
2015_Januar,7.8
2015_Februar,7.9
2015_Marec,10.7
2015_April,13.7
2015_Maj,15.9
2015_Junij,20.9
2015_Julij,21.2
2015_Avgust,20.7
2015_September,17.4
2015_Oktober,14.8
2015_November,11.4
2015_December,6.1
